table_no,sheet_no,table_title,date,series,value,series_type,data_type,collection_month,frequency,series_id,unit,.__txt
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure - Non-defence ;,3671,Seasonally Adjusted,DERIVED,3,Quarter,A2304077F,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure ;,6558,Seasonally Adjusted,DERIVED,3,Quarter,A2304078J,$ Millions,General government - National ;  Final consumption expenditure ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - State and local ;  Final consumption expenditure ;,10245,Seasonally Adjusted,DERIVED,3,Quarter,A2304079K,$ Millions,General government - State and local ;  Final consumption expenditure ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government ;  Final consumption expenditure ;,16905,Seasonally Adjusted,DERIVED,3,Quarter,A2304080V,$ Millions,General government ;  Final consumption expenditure ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure - Defence: Percentage changes ;,6.2,Seasonally Adjusted,DERIVED,3,Quarter,A2304117L,Percent,General government - National ;  Final consumption expenditure - Defence: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ;,1.8,Seasonally Adjusted,DERIVED,3,Quarter,A2304119T,Percent,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure: Percentage changes ;,2.1,Seasonally Adjusted,DERIVED,3,Quarter,A2304121C,Percent,General government - National ;  Final consumption expenditure: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - State and local ;  Final consumption expenditure: Percentage changes ;,1.8,Seasonally Adjusted,DERIVED,3,Quarter,A2304123J,Percent,General government - State and local ;  Final consumption expenditure: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government ;  Final consumption expenditure: Percentage changes ;,2.2,Seasonally Adjusted,DERIVED,3,Quarter,A2304125L,Percent,General government ;  Final consumption expenditure: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure - Defence ;,3088,Original,DERIVED,3,Quarter,A2302479K,$ Millions,General government - National ;  Final consumption expenditure - Defence ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure - Non-defence ;,3592,Original,DERIVED,3,Quarter,A2302480V,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure ;,6348,Original,DERIVED,3,Quarter,A2302481W,$ Millions,General government - National ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - State and local ;  Final consumption expenditure ;,9666,Original,DERIVED,3,Quarter,A2302482X,$ Millions,General government - State and local ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government ;  Final consumption expenditure ;,16070,Original,DERIVED,3,Quarter,A2302483A,$ Millions,General government ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure - Defence: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303946C,Index Points,General government - National ;  Final consumption expenditure - Defence: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure - Non-defence: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303948J,Index Points,General government - National ;  Final consumption expenditure - Non-defence: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - National ;  Final consumption expenditure: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2298900T,Index Points,General government - National ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government - State and local ;  Final consumption expenditure: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303950V,Index Points,General government - State and local ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-03-01,General government ;  Final consumption expenditure: Contributions to growth ;,0.3,Seasonally Adjusted,DERIVED,3,Quarter,A2303952X,Index Points,General government ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure - Defence ;,3282,Trend,DERIVED,3,Quarter,A2304202F,$ Millions,General government - National ;  Final consumption expenditure - Defence ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure - Non-defence ;,3777,Trend,DERIVED,3,Quarter,A2304203J,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure ;,6672,Trend,DERIVED,3,Quarter,A2304204K,$ Millions,General government - National ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - State and local ;  Final consumption expenditure ;,10241,Trend,DERIVED,3,Quarter,A2304205L,$ Millions,General government - State and local ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government ;  Final consumption expenditure ;,16990,Trend,DERIVED,3,Quarter,A2304206R,$ Millions,General government ;  Final consumption expenditure ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure - Defence: Percentage changes ;,1.4,Trend,DERIVED,3,Quarter,A2304241W,Percent,General government - National ;  Final consumption expenditure - Defence: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ;,2.3,Trend,DERIVED,3,Quarter,A2304243A,Percent,General government - National ;  Final consumption expenditure - Non-defence: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure: Percentage changes ;,2.3,Trend,DERIVED,3,Quarter,A2304245F,Percent,General government - National ;  Final consumption expenditure: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - State and local ;  Final consumption expenditure: Percentage changes ;,0.5,Trend,DERIVED,3,Quarter,A2304247K,Percent,General government - State and local ;  Final consumption expenditure: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government ;  Final consumption expenditure: Percentage changes ;,1.2,Trend,DERIVED,3,Quarter,A2304249R,Percent,General government ;  Final consumption expenditure: Percentage changes ; | Trend
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure - Defence ;,3240,Seasonally Adjusted,DERIVED,3,Quarter,A2304076C,$ Millions,General government - National ;  Final consumption expenditure - Defence ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure - Non-defence ;,3777,Seasonally Adjusted,DERIVED,3,Quarter,A2304077F,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - National ;  Final consumption expenditure ;,6574,Seasonally Adjusted,DERIVED,3,Quarter,A2304078J,$ Millions,General government - National ;  Final consumption expenditure ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1967-06-01,General government - State and local ;  Final consumption expenditure ;,10264,Seasonally Adjusted,DERIVED,3,Quarter,A2304079K,$ Millions,General government - State and local ;  Final consumption expenditure ; | Seasonally Adjusted
